date,country,D,H,I,M,S
2021-04-01,Afghanistan,0,28,9,0,0
2021-04-01,Japan,0,87,34,0,0
2021-04-01,Sweden,0,8,1,0,0
2021-04-02,Afghanistan,0,21,16,0,0
2021-04-02,Japan,0,56,65,0,0
2021-04-02,Sweden,0,7,2,0,0
2021-04-03,Afghanistan,0,16,21,0,0
2021-04-03,Japan,0,38,83,0,0
2021-04-03,Sweden,0,6,3,0,0
2021-04-04,Afghanistan,0,12,25,0,0
2021-04-04,Japan,0,29,92,0,0
2021-04-04,Sweden,0,1,8,0,0
2021-04-05,Afghanistan,0,11,17,5,4
2021-04-05,Japan,0,19,68,21,13
2021-04-05,Sweden,0,1,7,0,1
2021-04-06,Afghanistan,0,11,10,8,8
2021-04-06,Japan,0,14,42,37,28
2021-04-06,Sweden,0,1,6,1,1
2021-04-07,Afghanistan,0,9,7,11,10
2021-04-07,Japan,0,13,25,48,35
2021-04-07,Sweden,0,1,5,2,1
2021-04-08,Afghanistan,0,8,4,13,12
2021-04-08,Japan,0,11,18,53,39
2021-04-08,Sweden,0,1,0,6,2
2021-04-09,Afghanistan,0,6,5,13,13
2021-04-09,Japan,0,7,12,61,41
2021-04-09,Sweden,0,1,0,6,2
2021-04-10,Afghanistan,0,5,6,13,13
2021-04-10,Japan,0,6,8,65,42
2021-04-10,Sweden,0,1,0,6,2
2021-04-11,Afghanistan,0,5,4,14,14
2021-04-11,Japan,0,6,7,65,43
2021-04-11,Sweden,0,1,0,6,2
2021-04-12,Afghanistan,0,4,4,14,15
2021-04-12,Japan,0,4,7,66,44
2021-04-12,Sweden,0,0,1,6,2
2021-04-13,Afghanistan,0,4,2,15,16
2021-04-13,Japan,0,4,3,69,45
2021-04-13,Sweden,0,0,1,6,2
2021-04-14,Afghanistan,0,2,3,15,17
2021-04-14,Japan,0,3,3,69,46
2021-04-14,Sweden,0,0,1,6,2
2021-04-15,Afghanistan,0,2,3,15,17
2021-04-15,Japan,0,2,4,69,46
2021-04-15,Sweden,0,0,1,6,2
2021-04-16,Afghanistan,0,2,2,16,17
2021-04-16,Japan,0,2,2,71,46
2021-04-16,Sweden,0,0,0,7,2
2021-04-17,Afghanistan,0,2,2,16,17
2021-04-17,Japan,0,1,3,71,46
2021-04-17,Sweden,0,0,0,7,2
2021-04-18,Afghanistan,0,2,0,17,18
2021-04-18,Japan,0,1,2,71,47
2021-04-18,Sweden,0,0,0,7,2
2021-04-19,Afghanistan,0,2,0,21,14
2021-04-19,Japan,4,1,1,80,35
2021-04-19,Sweden,1,0,0,7,1
2021-04-20,Afghanistan,1,2,0,24,10
2021-04-20,Japan,9,0,2,90,20
2021-04-20,Sweden,1,0,0,7,1
2021-04-21,Afghanistan,1,2,0,26,8
2021-04-21,Japan,9,0,1,97,14
2021-04-21,Sweden,1,0,0,7,1
2021-04-22,Afghanistan,2,2,0,27,6
2021-04-22,Japan,9,0,1,101,10
2021-04-22,Sweden,1,0,0,8,0
2021-04-23,Afghanistan,2,2,0,28,5
2021-04-23,Japan,10,0,1,102,8
2021-04-23,Sweden,1,0,0,8,0
